country;region;health_index;obese_rate;suicide_rate;democracies_rate;hdr_rate;life_Exp;gpi;iq_rate;Deaths per 1,000 live births;gdp_usd;Ipc;life_lvl
Sri Lanka;ASIA (EX. NEAR EAST);341;NaN;14;614;782;NaN;202;8662;592;3695;244;Low
Botswana;SUB-SAHARAN AFRICA;336;189;161;773;735;65913;1801;6945;NaN;5676;128;Low
Afghanistan;ASIA (EX. NEAR EAST);288;55;41;32;511;62879;3554;8212;4497;490;147;Low
Mongolia;ASIA (EX. NEAR EAST);41;NaN;179;642;737;72667;1775;9103;1322;3917;NaN;Low
Croatia;EASTERN EUROPE;488;244;164;65;851;79236;144;9575;387;14193;121;Low
Iraq;NEAR EAST;24;304;36;351;674;71336;3157;8928;2132;3809;118;Low
Namibia;SUB-SAHARAN AFRICA;303;172;97;652;646;58059;1908;6619;3014;4137;157;Low
Ethiopia;SUB-SAHARAN AFRICA;378;45;54;33;485;65645;2806;6842;3537;783;321;Low
Guatemala;LATIN AMER. & CARIB;291;212;59;462;663;68674;2139;4772;2006;4349;167;Low
Zambia;SUB-SAHARAN AFRICA;265;81;73;NaN;584;61803;1841;6843;4166;905;364;Low
Nepal;ASIA (EX. NEAR EAST);NaN;41;9;441;602;70484;1947;4299;2359;1112;155;Low
Indonesia;ASIA (EX. NEAR EAST);504;69;24;671;718;6825;18;7849;1955;3847;113;Low
Bahrain;NEAR EAST;366;298;89;252;852;79246;2085;836;579;23585;101;Low
China;ASIA (EX. NEAR EAST);475;62;81;221;761;78587;201;1041;547;10423;104;Low
Poland;EASTERN EUROPE;557;231;113;68;88;76996;1552;9635;374;14969;233;NaN
Cameroon;SUB-SAHARAN AFRICA;286;114;9;256;563;60958;2709;6776;NaN;1464;129;Low
Kenya;SUB-SAHARAN AFRICA;388;71;61;505;601;62055;2303;752;3115;1875;128;Low
Malaysia;NaN;564;156;57;724;81;7626;1471;8758;738;9938;128;Low
Tunisia;NORTHERN AFRICA;315;269;33;599;74;74263;1996;7922;1429;3440;156;Low
Honduras;LATIN AMER. & CARIB;262;214;21;51;634;70728;2269;6216;1394;2284;399;Low
Rwanda;SUB-SAHARAN AFRICA;331;58;56;31;543;67129;1945;6995;3027;750;179;Low
Tanzania;SUB-SAHARAN AFRICA;313;84;43;51;529;66782;2001;7495;3472;983;109;Low
Slovakia;EASTERN EUROPE;544;205;NaN;703;86;7533;1499;9632;469;18621;211;Low
United Arab Emirates;NEAR EAST;NaN;317;64;NaN;89;79196;1865;8205;NaN;38011;106;Low
Serbia;EASTERN EUROPE;45;215;114;636;806;74137;1832;896;487;7386;246;Low
Sudan;SUB-SAHARAN AFRICA;283;86;38;247;51;65578;3007;7887;3992;1768;56089;Low
Bosnia and Herzegovina;EASTERN EUROPE;354;179;109;504;78;75293;185;8854;495;6170;120;Low
Ghana;SUB-SAHARAN AFRICA;343;109;66;65;611;63945;1759;5816;3302;2046;144;NaN
Jordan;NEAR EAST;428;355;16;349;729;74215;1849;807;1292;3877;108;Low
Costa Rica;LATIN AMER. & CARIB;408;257;81;807;81;7732;1732;8834;673;11995;111;Low
Algeria;NORTHERN AFRICA;NaN;274;25;377;748;77129;2146;76;1946;3287;253;Low
Nicaragua;LATIN AMER. & CARIB;363;237;44;269;66;74615;2334;5269;1379;1816;280;Low
Libya;NORTHERN AFRICA;253;325;45;195;724;NaN;293;8092;NaN;2820;290;Low
Pakistan;NaN;304;86;89;431;557;66431;2789;80;5415;1269;194;Low
South Africa;SUB-SAHARAN AFRICA;458;283;NaN;705;709;6148;2283;6887;2578;5599;106;Low
Mali;SUB-SAHARAN AFRICA;29;86;NaN;348;434;59417;2911;5976;5877;774;110;Low
Nigeria;SUB-SAHARAN AFRICA;38;89;NaN;411;539;53633;2725;6776;7224;1965;484;Low
Papua New Guinea;OCEANIA;25;213;NaN;61;555;65958;2046;7849;3523;2432;166;Low
Angola;SUB-SAHARAN AFRICA;291;82;61;337;581;61929;1982;751;4834;1637;142;NaN
Dominican Republic;LATIN AMER. & CARIB;345;276;49;NaN;756;7417;199;8205;2787;7029;120;Low
Venezuela;LATIN AMER. & CARIB;209;256;21;211;711;71105;2798;8299;2106;1670;5654207;Low
Guyana;LATIN AMER. & CARIB;308;202;NaN;625;682;65989;214;8323;2378;6765;137;Low
Zimbabwe;SUB-SAHARAN AFRICA;324;155;141;292;571;59391;235;7401;NaN;1418;13114;Low
Turkey;NaN;NaN;321;24;435;NaN;78475;2785;868;813;8436;1084;Low
Moldova;C.W. OF IND. STATES;41;189;147;NaN;75;68621;1882;8998;1246;3523;3810;Low
